pageId,route,pageTitle,controlKind,controlId,label,inputType,inputProfile,required,validation,editableWhen,source,operationBinding,enabledWhen,disabledWhen,confirmation,purpose
central.chat,/chat,Centrální chat,action,chat.pickTarget,Vybrat prvek,,,,,,,BROWSER.TARGET_PICK_START,live preview current and document identity current,no current document OR preview stale,NONE,Prepne preview do TARGET_PICK bez page mutation.
central.chat,/chat,Centrální chat,action,chat.loginHuman,Přihlásit se,,,,,,,BROWSER.HUMAN_CHALLENGE_TAKEOVER,typed login/challenge pending,no challenge/login flow,NONE,Preda browser OWNERovi pro human login/challenge.
central.chat,/chat,Centrální chat,action,chat.saveAccount,Uložit účet,,,,,,,BROWSER.ACCOUNT_SAVE,authenticated account marker verified and state save eligible,account not verified OR possible mutation unresolved,NONE,Otevre account/state binding summary a ulozi pouze potvrzeny rozsah.
central.chat,/chat,Centrální chat,action,chat.closeBrowser,Zavřít relaci,,,,,,,BROWSER.SESSION_CLOSE,session closeable and no blocking unknown effect,reconciliation/manual-review blocks destructive close,IMPACT_IF_NONIDLE,Uzavre browser session pres lifecycle/reconciliation.
dashboard,/dashboard,Dashboard,field,dashboard.search,Hledat,search,TEXT_1,False,BOUNDED_SEARCH_QUERY,ALWAYS_WHEN_SECTION_EDITABLE,OWNER_INPUT,,,,,"Fulltext nad komponentami, porty, bindingy a souvisejicimi objekty."
dashboard,/dashboard,Dashboard,field,dashboard.category,Kategorie,multiselect,,False,KNOWN_COMPONENT_CATEGORY,ALWAYS_WHEN_SECTION_EDITABLE,OWNER_INPUT,,,,,Filtr component category.
dashboard,/dashboard,Dashboard,field,dashboard.lifecycle,Lifecycle,multiselect,,False,KNOWN_LIFECYCLE_ENUM,ALWAYS_WHEN_SECTION_EDITABLE,OWNER_INPUT,,,,,Filtr lifecycle stavu.
dashboard,/dashboard,Dashboard,field,dashboard.operational,Operational,multiselect,,False,KNOWN_OPERATIONAL_ENUM,ALWAYS_WHEN_SECTION_EDITABLE,OWNER_INPUT,,,,,Filtr operational projection.
dashboard,/dashboard,Dashboard,field,dashboard.criticality,Criticality,multiselect,,False,KNOWN_CRITICALITY_ENUM,ALWAYS_WHEN_SECTION_EDITABLE,OWNER_INPUT,,,,,Filtr business criticality.
dashboard,/dashboard,Dashboard,action,dashboard.fit,Přizpůsobit,,,,,,,UI.DASHBOARD_FIT,canvas loaded,canvas unavailable,NONE,Fitne topology canvas do viewportu.
dashboard,/dashboard,Dashboard,action,dashboard.connect,Propojit,,,,,,,BINDING.CREATE,"source,target selected AND compatibility PASS AND versions current",missing endpoint OR incompatible/stale contract,NONE,Zalozi exact contract binding mezi kompatibilnimi porty.
dashboard,/dashboard,Dashboard,action,dashboard.disconnect,Odpojit,,,,,,,BINDING.DISCONNECT,active binding selected and impact preview complete,binding not removable OR protected activation set,IMPACT_PREVIEW,Odstrani/retiruje exact binding podle lifecycle.
dashboard,/dashboard,Dashboard,action,dashboard.bindSecret,Připojit secret,,,,,,,SECRET.BIND,source revision and secret version selector valid,wildcard/invalid target OR stale revision,NONE,Zalozi exact secret binding.
dashboard,/dashboard,Dashboard,action,dashboard.activate,Aktivovat,,,,,,,COMPONENT.ACTIVATE,all blocking readiness gates PASS and candidate current,any gate not PASS OR current pointer conflict,NONE,Aktivuje validovany activation set/component revision.
dashboard,/dashboard,Dashboard,action,dashboard.enable,Zapnout,,,,,,,COMPONENT.ENABLE,action registry enables for current state,already enabled OR lifecycle/readiness disallows,NONE,Enable component/runtime pres control state machine.
dashboard,/dashboard,Dashboard,action,dashboard.disable,Vypnout,,,,,,,COMPONENT.DISABLE,action registry enables for current state,already disabled OR transition forbidden,IMPACT_PREVIEW,Disable component/runtime pres control state machine.
dashboard,/dashboard,Dashboard,action,dashboard.repair,Opravit,,,,,,,COMPONENT.REPAIR,repair eligible and no duplicate active repair,no evidence/eligible target OR repair already active,NONE,Spusti deduplikovany repair workflow.
dashboard,/dashboard,Dashboard,action,dashboard.recertify,Recertifikovat,,,,,,,COMPONENT.RECERTIFY,component registered and recertifiable,terminal/deregistered OR run already active,NONE,Spusti recertification checks.
dashboard,/dashboard,Dashboard,action,dashboard.e2e,Spustit E2E,,,,,,,TEST.E2E_RUN,scenario exists and dependencies ready,no scenario OR readiness blocker,NONE,Spusti canonical E2E scenario.
dashboard,/dashboard,Dashboard,action,dashboard.detail,Otevřít detail,,,,,,,component.read,authenticated OWNER; selected object/current revision valid; canonical action guard passes,"missing selection, stale snapshot, unknown outcome or failed canonical guard",NONE,Read selected component and authorized capabilities.
dashboard,/dashboard,Dashboard,action,dashboard.history,Zobrazit historii,,,,,,,log.query,authenticated OWNER; selected object/current revision valid; canonical action guard passes,"missing selection, stale snapshot, unknown outcome or failed canonical guard",NONE,Read structured records for selected component.
dashboard,/dashboard,Dashboard,action,dashboard.lastRun,Poslední běh,,,,,,,DYNAMIC_CANONICAL_DISPATCH,authenticated OWNER; selected object/current revision valid; canonical action guard passes,"missing selection, stale snapshot, unknown outcome or failed canonical guard",NONE,Read latest run with exact component filter.
dashboard,/dashboard,Dashboard,action,dashboard.inputs,Zobrazit vstupy,,,,,,,log.query,authenticated OWNER; selected object/current revision valid; canonical action guard passes,"missing selection, stale snapshot, unknown outcome or failed canonical guard",NONE,Open typed input evidence panel for selected component and run.
dashboard,/dashboard,Dashboard,action,dashboard.outputs,Zobrazit výstupy,,,,,,,log.query,authenticated OWNER; selected object/current revision valid; canonical action guard passes,"missing selection, stale snapshot, unknown outcome or failed canonical guard",NONE,Open typed output evidence panel for selected component and run.
dashboard,/dashboard,Dashboard,action,dashboard.files,Zobrazit soubory,,,,,,,DYNAMIC_CANONICAL_DISPATCH,authenticated OWNER; selected object/current revision valid; canonical action guard passes,"missing selection, stale snapshot, unknown outcome or failed canonical guard",NONE,Open artifact inventory with digests and preview handles.
dashboard,/dashboard,Dashboard,action,dashboard.contextChat,Zeptat se v chatu,,,,,,,chat.conversation.create,authenticated OWNER; selected object/current revision valid; canonical action guard passes,"missing selection, stale snapshot, unknown outcome or failed canonical guard",NONE,Open related chat with selected component and run references.
dashboard,/dashboard,Dashboard,action,dashboard.remove,Odstranit prvek,,,,,,,component.deregister,authenticated OWNER; selected object/current revision valid; canonical action guard passes,"missing selection, stale snapshot, unknown outcome or failed canonical guard",IMPACT_PREVIEW,Deregister after impact preview and canonical closure.
dashboard,/dashboard,Dashboard,action,dashboard.start,Spustit prvek,,,,,,,runtime.instance.start,authenticated OWNER; selected object/current revision valid; canonical action guard passes,"missing selection, stale snapshot, unknown outcome or failed canonical guard",NONE,Start component using canonical capability-specific guards.
dashboard,/dashboard,Dashboard,action,dashboard.stop,Zastavit prvek,,,,,,,runtime.stop,authenticated OWNER; selected object/current revision valid; canonical action guard passes,"missing selection, stale snapshot, unknown outcome or failed canonical guard",IMPACT_IF_NONIDLE,Stop component using canonical capability-specific guards.
dashboard,/dashboard,Dashboard,action,dashboard.restart,Restartovat prvek,,,,,,,runtime.instance.restart,authenticated OWNER; selected object/current revision valid; canonical action guard passes,"missing selection, stale snapshot, unknown outcome or failed canonical guard",IMPACT_IF_NONIDLE,Restart component using canonical capability-specific guards.
dashboard,/dashboard,Dashboard,action,dashboard.status,Zkontrolovat stav,,,,,,,component.state.request,authenticated OWNER; selected object/current revision valid; canonical action guard passes,"missing selection, stale snapshot, unknown outcome or failed canonical guard",NONE,Check component status using canonical capability-specific guards.
dashboard,/dashboard,Dashboard,action,dashboard.logs,Zobrazit log,,,,,,,log.query,authenticated OWNER; selected object/current revision valid; canonical action guard passes,"missing selection, stale snapshot, unknown outcome or failed canonical guard",NONE,Show log using canonical capability-specific guards.
dashboard,/dashboard,Dashboard,action,dashboard.copy,Kopírovat data,,,,,,,CLIENT_ONLY,OWNER gesture; authorized preview data selected; secure context,no authorized selection or clipboard unavailable; selectable-text fallback shown,NONE,Copy data using canonical capability-specific guards.
generation,/generation,Generování,field,gen.intent,Funkční záměr,textarea,TEXT_50,True,NONEMPTY + ATTACHMENT/URL/TARGET REFERENCES ALLOWED,ALWAYS_WHEN_SECTION_EDITABLE,OWNER_INPUT,,,,,Primarni business zadani OWNERa pro novou/menenou schopnost.
generation,/generation,Generování,field,gen.url,Zdrojová URL,url,TEXT_1,False,ABSOLUTE_URL + SERVER_NAVIGATION_POLICY,ALWAYS_WHEN_SECTION_EDITABLE,OWNER_INPUT,,,,,Volitelny zdroj pro research/browser.
generation,/generation,Generování,field,gen.credential,Credential,secret,SECRET_50,False,SECRET_USE_CONTEXT_REQUIRED,ALWAYS_WHEN_SECTION_EDITABLE,OWNER_INPUT,,,,,Volitelny chybejici business credential pro konkretni research/configuration krok.
generation,/generation,Generování,field,gen.blockerResponse,Odpověď na blocker,textarea,TEXT_8,False,BLOCKER_SCHEMA,ALWAYS_WHEN_SECTION_EDITABLE,OWNER_INPUT,,,,,Pouze skutecne chybejici OWNER business vstup k exact blockeru.
generation,/generation,Generování,action,gen.create,Nové zadání,,,,,,,GENERATION.CREATE,authenticated and base capability available,create pending OR platform recovery barrier,NONE,Zalozi generation job a persistentni diskusi.
generation,/generation,Generování,action,gen.send,Odeslat,,,,,,,GENERATION.MESSAGE_SEND,nonempty message/source and job nonterminal,job terminal OR no input,NONE,Prida OWNER message/source do generation discussion.
generation,/generation,Generování,action,gen.steer,Upravit směr,,,,,,,GENERATION.STEER,job nonterminal and current phase steerable,mutation reconciliation/manual review OR terminal,NONE,Steer current generation/model/browser read-only loop.
generation,/generation,Generování,action,gen.approveSpec,Schválit specifikaci,,,,,,,GENERATION.SPEC_APPROVE,"spec current, all required questions resolved, validation PASS","open question, stale revision, invalid spec, missing authority",NONE,Atomicky schvali exact immutable specification revision.
generation,/generation,Generování,action,gen.resolveBlocker,Vyřešit blocker,,,,,,,GENERATION.BLOCKER_RESOLVE,blocker OPEN and required input valid,no open blocker OR invalid/stale blocker,NONE,Odesle schema-valid OWNER odpoved na exact blocker.
generation,/generation,Generování,action,gen.retry,Opakovat,,,,,,,GENERATION.RETRY,current failed phase exposes retry directive allowing retry,unknown effect/manual review/no retry directive,NONE,Retry pouze podle canonical recovery directive.
generation,/generation,Generování,action,gen.cancel,Zrušit,,,,,,,GENERATION.CANCEL,job cancellable and nonterminal,terminal OR cancellation already committed,NONE,Canonical cancellation generation jobu.
generation,/generation,Generování,action,gen.selftest,Spustit self-test,,,,,,,SELFTEST.RUN_FOR_JOB,job has testable artifacts/object refs,nothing testable OR conflicting run,NONE,Spusti relevantni canonical self-test katalog.
generation,/generation,Generování,action,gen.bypass,Obejít blokaci,,,,,,,FORBIDDEN,NEVER,ALWAYS,NONE,Tato akce NESMI existovat.
generation,/generation,Generování,action,gen.editSpec,Upravit zadání,,,,,,,generation.spec.propose,authenticated OWNER; selected object/current revision valid; canonical action guard passes,"missing selection, stale snapshot, unknown outcome or failed canonical guard",NONE,Create next editable specification revision.
generation,/generation,Generování,action,gen.reviewSpec,Zkontrolovat zadání,,,,,,,generation.spec.precheck,authenticated OWNER; selected object/current revision valid; canonical action guard passes,"missing selection, stale snapshot, unknown outcome or failed canonical guard",NONE,Validate graph and mark exact revision REVIEWED.
agents,/agents,AI agenti,field,agent.search,Hledat agenta,search,TEXT_1,False,BOUNDED_SEARCH_QUERY,ALWAYS_WHEN_SECTION_EDITABLE,OWNER_INPUT,,,,,Fulltext agent catalogu.
agents,/agents,AI agenti,field,agent.instructions,Canonical instrukce,textarea,TEXT_50,True,REVISION_SCHEMA + PROVENANCE/INSTRUCTION_AUTHORITY,ALWAYS_WHEN_SECTION_EDITABLE,OWNER_INPUT,,,,,Normativni instrukce konkretni agent revision.
agents,/agents,AI agenti,field,agent.inputSchema,Input schema,code,CODE_50,True,JSON_SCHEMA_2020_12 + OPENAI_COMPATIBILITY,ALWAYS_WHEN_SECTION_EDITABLE,OWNER_INPUT,,,,,Strict vstupni schema agent revision.
agents,/agents,AI agenti,field,agent.outputSchema,Output schema,code,CODE_50,True,JSON_SCHEMA_2020_12 + OPENAI_COMPATIBILITY,ALWAYS_WHEN_SECTION_EDITABLE,OWNER_INPUT,,,,,Strict vystupni schema agent revision.
agents,/agents,AI agenti,field,agent.model,OpenAI model,select,,True,SUPPORTED_MODEL/CAPABILITY,ALWAYS_WHEN_SECTION_EDITABLE,OWNER_INPUT,,,,,Model pro revision.
agents,/agents,AI agenti,action,agent.newRevision,Nová revize,,,,,,,AGENT.REVISION_CREATE,agent exists and lifecycle allows revision,terminal/deregistered OR create pending,NONE,Vytvori editable candidate revision bez mutace active revision.
agents,/agents,AI agenti,action,agent.saveRevision,Uložit revizi,,,,,,,AGENT.REVISION_SAVE,candidate dirty and local/schema validation PASS,read-only active revision OR validation errors,NONE,Persistuje candidate revision s validaci.
agents,/agents,AI agenti,action,agent.validate,Validovat,,,,,,,AGENT.VALIDATE,candidate/current revision exists,no revision OR validation active,NONE,Spusti full contract/binding/schema validation.
agents,/agents,AI agenti,action,agent.run,Spustit,,,,,,,AGENT.RUN,"active ready revision, bindings current, OpenAI configured",not active/ready OR stale binding OR OPENAI_CONFIGURATION_REQUIRED,NONE,Spusti agent run.
agents,/agents,AI agenti,action,agent.pause,Pozastavit,,,,,,,AGENT.RUN_PAUSE,run supports pause and nonterminal,no run OR phase not pausable,NONE,Pozastavi resumable run na checkpointu.
agents,/agents,AI agenti,action,agent.resume,Pokračovat,,,,,,,AGENT.RUN_RESUME,paused checkpoint current and dependencies valid,stale checkpoint/binding/model capability,NONE,Resume exact checkpoint.
agents,/agents,AI agenti,action,agent.cancel,Zrušit,,,,,,,AGENT.RUN_CANCEL,run cancellable,terminal/unknown effect barrier,NONE,Canonical cancel runu.
agents,/agents,AI agenti,action,agent.activate,Aktivovat,,,,,,,AGENT.ACTIVATE,promotion/eval/readiness PASS,any blocking gate not PASS,NONE,Aktivuje validated revision v activation setu.
agents,/agents,AI agenti,action,agent.rollback,Rollback,,,,,,,AGENT.ROLLBACK,valid rollback point exists and safety checks PASS,no rollback point OR incompatible migration/effect,IMPACT_PREVIEW,Vrati na overeny predchozi release/revision pointer.
mcp,/mcp,MCP servery a nástroje,field,mcp.search,Hledat,search,TEXT_1,False,BOUNDED_SEARCH_QUERY,ALWAYS_WHEN_SECTION_EDITABLE,OWNER_INPUT,,,,,"Hleda servery, tools, resources, prompts a adaptery."
mcp,/mcp,MCP servery a nástroje,field,mcp.method,Method,select,,True,METHOD_SUPPORTED_BY_SELECTED_REVISION,ALWAYS_WHEN_SECTION_EDITABLE,OWNER_INPUT,,,,,Exact MCP/JSON-RPC method request builderu.
mcp,/mcp,MCP servery a nástroje,field,mcp.name,Name / URI / Task ID,text,TEXT_1,False,EXACT_METHOD_ROUTING_SCHEMA,ALWAYS_WHEN_SECTION_EDITABLE,OWNER_INPUT,,,,,Method-specific target routing field.
mcp,/mcp,MCP servery a nástroje,field,mcp.meta,Request _meta,code,CODE_50,True,MCP_NATIVE_SCHEMA,ALWAYS_WHEN_SECTION_EDITABLE,OWNER_INPUT,,,,,Per-request protocolVersion/capabilities a povolena metadata.
mcp,/mcp,MCP servery a nástroje,field,mcp.headers,HTTP headers,code,CODE_50,False,SINGLETON_HEADER + HEADER/BODY_MATCH,ALWAYS_WHEN_SECTION_EDITABLE,OWNER_INPUT,,,,,Routing headers a custom schema-recognized headers.
mcp,/mcp,MCP servery a nástroje,field,mcp.params,Params / body,code,CODE_50,False,NATIVE_JSON_SCHEMA + SIZE/DEPTH_LIMITS,ALWAYS_WHEN_SECTION_EDITABLE,OWNER_INPUT,,,,,Typed JSON-RPC params podle exact tool/method contractu.
mcp,/mcp,MCP servery a nástroje,action,mcp.discover,server/discover,,,,,,,MCP.DISCOVER,selected endpoint/auth binding valid,no endpoint OR auth/binding invalid,NONE,Provede fresh discovery a ulozi evidence snapshot.
mcp,/mcp,MCP servery a nástroje,action,mcp.send,Odeslat request,,,,,,,MCP.REQUEST_EXECUTE,all request fields valid and selected contract current,malformed/mismatch/stale contract/binding,NONE,Provede exact request po protocol/schema/binding preflightu.
mcp,/mcp,MCP servery a nástroje,action,mcp.cancel,Zrušit,,,,,,,MCP.REQUEST_CANCEL,current operation cancellable,terminal/noncancellable/unknown-effect reconciliation,NONE,Cancel current cancellable MCP request/task podle contractu.
mcp,/mcp,MCP servery a nástroje,action,mcp.verify,Ověřit,,,,,,,MCP.VERIFY,server revision selected,verification active OR no revision,NONE,Spusti protocol/compatibility verification.
mcp,/mcp,MCP servery a nástroje,action,mcp.activate,Aktivovat,,,,,,,MCP.ACTIVATE,discovery/schema/E2E/bindings PASS,era unknown/ambiguous OR any gate fail,NONE,Aktivuje verified MCP revision/activation relation.
mcp,/mcp,MCP servery a nástroje,action,mcp.repair,Opravit,,,,,,,MCP.REPAIR,repairable failure/evidence,no repair basis OR duplicate active repair,NONE,Spusti repair s evidence.
browser,/browser,Browser relace a automatizace,field,browser.search,Hledat relaci,search,TEXT_1,False,BOUNDED_SEARCH_QUERY,ALWAYS_WHEN_SECTION_EDITABLE,OWNER_INPUT,,,,,"Filtr session ID, parentu, consumeru, accountu, URL/title a purpose."
browser,/browser,Browser relace a automatizace,field,browser.url,URL,url,TEXT_1,False,ABSOLUTE_URL + NAVIGATION_POLICY,ALWAYS_WHEN_SECTION_EDITABLE,OWNER_INPUT,,,,,Navigacni cil pro novou/ad-hoc relaci.
browser,/browser,Browser relace a automatizace,field,browser.annotationNote,Poznámka k označení,textarea,TEXT_2,False,MAX_2000 + PRESERVE_CONTENT,ALWAYS_WHEN_SECTION_EDITABLE,OWNER_INPUT,,,,,Volitelna komunikacni poznamka persistentni annotation.
browser,/browser,Browser relace a automatizace,field,browser.focusMessage,Zpráva „zaměř se sem“,textarea,TEXT_2,True,NONEMPTY + MAX_4000,ALWAYS_WHEN_SECTION_EDITABLE,OWNER_INPUT,,,,,Text BrowserFocusRequestu mezi OWNER a AI.
browser,/browser,Browser relace a automatizace,field,browser.accountName,Uložený účet / binding,select,,False,CURRENT_ACCOUNT_BINDING,ALWAYS_WHEN_SECTION_EDITABLE,OWNER_INPUT,,,,,Exact browser account binding pro restore/save/login.
browser,/browser,Browser relace a automatizace,action,browser.new,Nová relace,,,,,,,BROWSER.SESSION_CREATE,capacity/admission ready,capacity exhausted OR recovery barrier,NONE,Zalozi browser session s exact consumer/parent/purpose.
browser,/browser,Browser relace a automatizace,action,browser.navigate,Otevřít URL,,,,,,,BROWSER.NAVIGATE,controller has write lease and URL valid,no control lease OR stale page/document identity,NONE,Naviguje current page pod current control/operation scope.
browser,/browser,Browser relace a automatizace,action,browser.takeover,Převzít ovládání,,,,,,,BROWSER.CONTROL_TAKEOVER,current session controllable and not already OWNER,stale control epoch/transfer pending,NONE,Fenced transfer write authority na OWNERa.
browser,/browser,Browser relace a automatizace,action,browser.returnAi,Vrátit AI,,,,,,,BROWSER.CONTROL_RETURN_AI,OWNER current controller + AI consumer attached + challenge resolved,not controller OR no AI recipient OR stale epoch,NONE,Fenced transfer na exact AI consumer.
browser,/browser,Browser relace a automatizace,action,browser.modeBrowse,Procházet,,,,,,,BROWSER.UI_MODE_BROWSE,OWNER holds write lease,OWNER not controller for page input,NONE,Prepne preview do BROWSE input rezimu.
browser,/browser,Browser relace a automatizace,action,browser.modeMarkup,Označit,,,,,,,BROWSER.UI_MODE_MARKUP,preview current,preview/document stale,NONE,Prepne do MARKUP overlay rezimu; page pointer forwarding MUSI byt off.
browser,/browser,Browser relace a automatizace,action,browser.modeTarget,Vybrat prvek,,,,,,,BROWSER.UI_MODE_TARGET_PICK,fresh observation/document,no current document,NONE,Prepne do TARGET_PICK.
browser,/browser,Browser relace a automatizace,action,browser.modePointer,Ukazatel,,,,,,,BROWSER.UI_MODE_LIVE_POINTER,preview current,preview stale,NONE,Aktivuje ephemeral POINTER/LASER collaboration.
browser,/browser,Browser relace a automatizace,action,browser.annotationCommit,Uložit označení,,,,,,,BROWSER.ANNOTATION_CREATE,draft geometry valid and lineage unchanged,pointer-up lineage changed without snapshot-only resolution,NONE,Commitne BrowserVisualAnnotation s exact anchor/snapshot.
browser,/browser,Browser relace a automatizace,action,browser.focusAi,Požádat AI: zaměř se sem,,,,,,,BROWSER.FOCUS_REQUEST_CREATE,>=1 resolvable/snapshot annotation selected and AI consumer attached,no annotation OR no AI recipient,NONE,Vytvori focus request z vybranych annotations.
browser,/browser,Browser relace a automatizace,action,browser.focusOwner,OWNER: podívej se sem,,,,,,,BROWSER.FOCUS_REQUEST_CREATE_AI,AI proposal validated server-side,stale AI observation/invalid anchor,NONE,AI-side ekvivalent focus requestu; v OWNER UI se zobrazi jako incoming card.
browser,/browser,Browser relace a automatizace,action,browser.saveAccount,Uložit účet,,,,,,,BROWSER.ACCOUNT_SAVE,account marker verified and no unresolved effect,wrong/unknown account OR incompatible state,NONE,Ulozi povoleny state bundle po account verification.
browser,/browser,Browser relace a automatizace,action,browser.close,Zavřít relaci,,,,,,,BROWSER.SESSION_CLOSE,session closeable,possible mutation unknown/manual review,IMPACT_IF_NONIDLE,Lifecycle close se cleanup/reconciliation.
browser,/browser,Browser relace a automatizace,action,browser.teach,Vytvořit automatizaci,,,,,,,BROWSER.AUTOMATION_CREATE_FROM_TEACHING,replayable deterministic flow + postconditions PASS,visual-only unresolved mutating step OR model-only replay,NONE,Prevede verified teaching flow do candidate automation revision.
registered,/registered,Registrované prvky,field,registered.search,Hledat,search,TEXT_1,False,BOUNDED_SEARCH_QUERY,ALWAYS_WHEN_SECTION_EDITABLE,OWNER_INPUT,,,,,Fulltext registrovanych objektu.
registered,/registered,Registrované prvky,field,registered.status,Stav,multiselect,,False,KNOWN_STATUS_ENUMS,ALWAYS_WHEN_SECTION_EDITABLE,OWNER_INPUT,,,,,Filtr lifecycle/operational/monitoring stavu.
registered,/registered,Registrované prvky,field,registered.kind,Typ,multiselect,,False,KNOWN_OBJECT_KIND,ALWAYS_WHEN_SECTION_EDITABLE,OWNER_INPUT,,,,,Filtr component/MCP/agent/tool/automation druhu.
