page_id,title,route,fields,actions,required_states,panels,reference_file
external,Externí systémy,/external,8,6,LOADING|EMPTY|READY|PARTIAL|STALE_RECONNECTING|ERROR|SUCCESS,Target list|Target detail form|Auth binding panel|Inbound/outbound binding matrix|Live request history|Latency/error stats|Circuit panel|Request builder|Webhook inspector|Challenge tester|Monitoring/alarms,03_UI_REFERENCE/pages/external.html
monitoring,Monitoring,/monitoring,5,6,LOADING|EMPTY|READY|PARTIAL|STALE_RECONNECTING|ERROR|SUCCESS,Metric cards|Probe/state timeline|Component filters|Severity segments|Alerts/deliveries|Scheduler state|SLO/latency|Heartbeat freshness|Resource charts|Runbook/repair|Profile editor|Debug evidence,03_UI_REFERENCE/pages/monitoring.html
runtime-access,API klíč a runtime vazby,/runtime-access,1,5,LOADING|EMPTY|READY|PARTIAL|STALE_RECONNECTING|ERROR|SUCCESS,OWNER API key card|Usage history|Runtime/component identities|Exact contract binding matrix|Secret binding matrix|External auth bindings|Bridge certificates|Evidence/audit drawer,03_UI_REFERENCE/pages/runtime-access.html
secrets,Secrets a hesla,/secrets,10,11,LOADING|EMPTY|READY|PARTIAL|STALE_RECONNECTING|ERROR|SUCCESS,Search/filter/groups/tags|Table/card view|Secret detail|Value/reveal area|Versions timeline|Bindings matrix|Usage graph|TOTP/countdown|Import/export|Bulk actions|Audit/live logs,03_UI_REFERENCE/pages/secrets.html
audit,Audit a logy,/audit,6,6,LOADING|EMPTY|READY|PARTIAL|STALE_RECONNECTING|ERROR|SUCCESS,Filter/search bar|Live tail|Merged timeline|Raw/formatted detail|Before/after diff|Stack trace|Payload/secret view|Correlation graph|Saved queries|Retention/archive state|Integrity panel,03_UI_REFERENCE/pages/audit.html
configuration,Konfigurace,/configuration,4,5,LOADING|READY|EDITING|VALIDATING|PENDING|APPLYING|VERIFYING|APPLIED|ROLLING_BACK|ROLLED_BACK|FAILED|CONFLICT|MANUAL_REVIEW,Search/category navigation|Setting list|Setting detail/editor|Source/management mode badge|Desired/effective version|Derivation explanation|Apply progress|Conflict/recovery panel|Audit history,03_UI_REFERENCE/pages/configuration.html
tests-api,Testy a API,/tests-api,5,5,LOADING|EMPTY|READY|PARTIAL|STALE_RECONNECTING|ERROR|SUCCESS,OWNER API key summary|Operation catalog|OpenAPI/KCIP contracts|Test catalog|Running test progress|Results/evidence/logs/cleanup|API explorer|Response/raw meta viewer,03_UI_REFERENCE/pages/tests-api.html
security,Bezpečnost,/security,3,7,LOADING|EMPTY|READY|PARTIAL|STALE_RECONNECTING|ERROR|SUCCESS,Identity/password source|MFA/recovery|Sessions|Login history|Security events|Rate limits|Certificates|Master key status|CSP/headers|Dependency audit|Host preflight|Logs/audit,03_UI_REFERENCE/pages/security.html
releases,Releases a provoz,/releases,2,6,LOADING|EMPTY|READY|PARTIAL|STALE_RECONNECTING|ERROR|SUCCESS,Release list|Current pointer summary|Build/source/digest detail|Deployment timeline|Health/readiness|Rollback panel|Backups|Migrations|Services/systemd|Acceptance runs|Evidence/logs/audit,03_UI_REFERENCE/pages/releases.html
command-palette,Command palette,GLOBAL_OVERLAY,1,2,LOADING|EMPTY|READY|PARTIAL|STALE_RECONNECTING|ERROR|SUCCESS,Search input|Grouped navigation results|Object results|Action results with enabled/disabled reason|Keyboard hint/footer,03_UI_REFERENCE/pages/command-palette.html
