function_id,UI_function,canonical_operations,access,dashboard_target,dashboard_observed,object_panel,chat_target,validation_contract,audit_event,source_ref
ui.dashboard.bindSecret,Připojit secret,secret.bind,OWNER_FULL,dashboard.drawer.dashboard,EXPLICIT_PAGE_ACTION,Dashboard > Actions > dashboard > dashboard.bindSecret,CANONICAL_COMMAND,"[{""catalog"": ""contracts/payload-contracts.json"", ""routeIds"": [""route.0037"", ""route.0396""]}]","{""secret.bind"": [""OPERATION_ADMITTED"", ""OPERATION_STATE_CHANGED"", ""OPERATION_TERMINAL""]}",ui/contracts/ui-control-registry.json#/pages/3/actions/3
ui.dashboard.activate,Aktivovat,component.activate,OWNER_FULL,dashboard.drawer.dashboard,EXPLICIT_PAGE_ACTION,Dashboard > Actions > dashboard > dashboard.activate,CANONICAL_COMMAND,"[{""catalog"": ""contracts/payload-contracts.json"", ""routeIds"": [""route.0050"", ""route.0076""]}]","{""component.activate"": [""OPERATION_ADMITTED"", ""OPERATION_STATE_CHANGED"", ""OPERATION_TERMINAL""]}",ui/contracts/ui-control-registry.json#/pages/3/actions/4
ui.dashboard.enable,Zapnout,component.enable,OWNER_FULL,dashboard.drawer.dashboard,EXPLICIT_PAGE_ACTION,Dashboard > Actions > dashboard > dashboard.enable,CANONICAL_COMMAND,"[{""catalog"": ""contracts/payload-contracts.json"", ""routeIds"": [""route.0051"", ""route.0153""]}]","{""component.enable"": [""OPERATION_ADMITTED"", ""OPERATION_STATE_CHANGED"", ""OPERATION_TERMINAL""]}",ui/contracts/ui-control-registry.json#/pages/3/actions/5
ui.dashboard.disable,Vypnout,component.disable,OWNER_FULL,dashboard.drawer.dashboard,EXPLICIT_PAGE_ACTION,Dashboard > Actions > dashboard > dashboard.disable,CANONICAL_COMMAND,"[{""catalog"": ""contracts/payload-contracts.json"", ""routeIds"": [""route.0052"", ""route.0154""]}]","{""component.disable"": [""OPERATION_ADMITTED"", ""OPERATION_STATE_CHANGED"", ""OPERATION_TERMINAL""]}",ui/contracts/ui-control-registry.json#/pages/3/actions/6
ui.dashboard.repair,Opravit,component.repair.request,OWNER_FULL,dashboard.drawer.dashboard,EXPLICIT_PAGE_ACTION,Dashboard > Actions > dashboard > dashboard.repair,CANONICAL_COMMAND,"[{""catalog"": ""contracts/payload-contracts.json"", ""routeIds"": [""route.0057""]}]","{""component.repair.request"": [""OPERATION_ADMITTED"", ""OPERATION_STATE_CHANGED"", ""OPERATION_TERMINAL""]}",ui/contracts/ui-control-registry.json#/pages/3/actions/7
ui.dashboard.recertify,Recertifikovat,component.recertify,OWNER_FULL,dashboard.drawer.dashboard,EXPLICIT_PAGE_ACTION,Dashboard > Actions > dashboard > dashboard.recertify,CANONICAL_COMMAND,"[{""catalog"": ""contracts/payload-contracts.json"", ""routeIds"": [""route.0058""]}]","{""component.recertify"": [""OPERATION_ADMITTED"", ""OPERATION_STATE_CHANGED"", ""OPERATION_TERMINAL""]}",ui/contracts/ui-control-registry.json#/pages/3/actions/8
ui.dashboard.e2e,Spustit E2E,component.e2e.start,OWNER_FULL,dashboard.drawer.dashboard,EXPLICIT_PAGE_ACTION,Dashboard > Actions > dashboard > dashboard.e2e,CANONICAL_COMMAND,"[{""catalog"": ""contracts/payload-contracts.json"", ""routeIds"": [""route.0059""]}]","{""component.e2e.start"": [""OPERATION_ADMITTED"", ""OPERATION_STATE_CHANGED"", ""OPERATION_TERMINAL""]}",ui/contracts/ui-control-registry.json#/pages/3/actions/9
ui.gen.create,Nové zadání,generation.job.create,OWNER_FULL,dashboard.drawer.generation,NOT_IN_DASHBOARD_REFERENCE,Dashboard > Actions > generation > gen.create,CANONICAL_COMMAND,"[{""catalog"": ""contracts/payload-contracts.json"", ""routeIds"": [""route.0215""]}]","{""generation.job.create"": [""OPERATION_ADMITTED"", ""OPERATION_STATE_CHANGED"", ""OPERATION_TERMINAL""]}",ui/contracts/ui-control-registry.json#/pages/4/actions/0
ui.gen.send,Odeslat,generation.message.append,OWNER_FULL,dashboard.drawer.generation,NOT_IN_DASHBOARD_REFERENCE,Dashboard > Actions > generation > gen.send,CANONICAL_COMMAND,"[{""catalog"": ""contracts/payload-contracts.json"", ""routeIds"": [""route.0220""]}]","{""generation.message.append"": [""OPERATION_ADMITTED"", ""OPERATION_STATE_CHANGED"", ""OPERATION_TERMINAL""]}",ui/contracts/ui-control-registry.json#/pages/4/actions/1
ui.gen.steer,Upravit směr,generation.turn.interrupt,OWNER_FULL,dashboard.drawer.generation,NOT_IN_DASHBOARD_REFERENCE,Dashboard > Actions > generation > gen.steer,CANONICAL_COMMAND,"[{""schemaId"": ""urn:kcml:r9:operation:generation.turn.interrupt:command""}]","{""generation.turn.interrupt"": [""OPERATION_ADMITTED"", ""OPERATION_STATE_CHANGED"", ""OPERATION_TERMINAL""]}",ui/contracts/ui-control-registry.json#/pages/4/actions/2
ui.gen.approveSpec,Schválit specifikaci,generation.spec.approve,OWNER_FULL,dashboard.drawer.generation,NOT_IN_DASHBOARD_REFERENCE,Dashboard > Actions > generation > gen.approveSpec,CANONICAL_COMMAND,"[{""catalog"": ""contracts/payload-contracts.json"", ""routeIds"": [""route.0234""]}]","{""generation.spec.approve"": [""OPERATION_ADMITTED"", ""OPERATION_STATE_CHANGED"", ""OPERATION_TERMINAL""]}",ui/contracts/ui-control-registry.json#/pages/4/actions/3
ui.gen.resolveBlocker,Vyřešit blocker,generation.blocker.resolve,OWNER_FULL,dashboard.drawer.generation,NOT_IN_DASHBOARD_REFERENCE,Dashboard > Actions > generation > gen.resolveBlocker,CANONICAL_COMMAND,"[{""catalog"": ""contracts/payload-contracts.json"", ""routeIds"": [""route.0255""]}]","{""generation.blocker.resolve"": [""OPERATION_ADMITTED"", ""OPERATION_STATE_CHANGED"", ""OPERATION_TERMINAL""]}",ui/contracts/ui-control-registry.json#/pages/4/actions/4
ui.gen.retry,Opakovat,generation.job.retry,OWNER_FULL,dashboard.drawer.generation,NOT_IN_DASHBOARD_REFERENCE,Dashboard > Actions > generation > gen.retry,CANONICAL_COMMAND,"[{""catalog"": ""contracts/payload-contracts.json"", ""routeIds"": [""route.0258""]}]","{""generation.job.retry"": [""OPERATION_ADMITTED"", ""OPERATION_STATE_CHANGED"", ""OPERATION_TERMINAL""]}",ui/contracts/ui-control-registry.json#/pages/4/actions/5
ui.gen.cancel,Zrušit,generation.job.cancel,OWNER_FULL,dashboard.drawer.generation,NOT_IN_DASHBOARD_REFERENCE,Dashboard > Actions > generation > gen.cancel,CANONICAL_COMMAND,"[{""catalog"": ""contracts/payload-contracts.json"", ""routeIds"": [""route.0257""]}]","{""generation.job.cancel"": [""OPERATION_ADMITTED"", ""OPERATION_STATE_CHANGED"", ""OPERATION_TERMINAL""]}",ui/contracts/ui-control-registry.json#/pages/4/actions/6
ui.gen.selftest,Spustit self-test,selfTest.run.start,OWNER_FULL,dashboard.drawer.generation,NOT_IN_DASHBOARD_REFERENCE,Dashboard > Actions > generation > gen.selftest,CANONICAL_COMMAND,"[{""catalog"": ""contracts/payload-contracts.json"", ""routeIds"": [""route.0483"", ""route.0507""]}]","{""selfTest.run.start"": [""OPERATION_ADMITTED"", ""OPERATION_STATE_CHANGED"", ""OPERATION_TERMINAL""]}",ui/contracts/ui-control-registry.json#/pages/4/actions/7
ui.gen.bypass,Obejít blokaci,,OWNER_FULL,dashboard.drawer.generation,NOT_IN_DASHBOARD_REFERENCE,Dashboard > Actions > generation > gen.bypass,UNAVAILABLE,[],{},ui/contracts/ui-control-registry.json#/pages/4/actions/8
ui.agent.newRevision,Nová revize,,OWNER_FULL,dashboard.drawer.agents,NOT_IN_DASHBOARD_REFERENCE,Dashboard > Actions > agents > agent.newRevision,CLIENT_INTERACTION,[],{},ui/contracts/ui-control-registry.json#/pages/5/actions/0
ui.agent.saveRevision,Uložit revizi,agent.revision.publish,OWNER_FULL,dashboard.drawer.agents,NOT_IN_DASHBOARD_REFERENCE,Dashboard > Actions > agents > agent.saveRevision,CANONICAL_COMMAND,"[{""catalog"": ""contracts/payload-contracts.json"", ""routeIds"": [""route.0142""]}]","{""agent.revision.publish"": [""OPERATION_ADMITTED"", ""OPERATION_STATE_CHANGED"", ""OPERATION_TERMINAL""]}",ui/contracts/ui-control-registry.json#/pages/5/actions/1
ui.agent.validate,Validovat,agent.revision.validate,OWNER_FULL,dashboard.drawer.agents,NOT_IN_DASHBOARD_REFERENCE,Dashboard > Actions > agents > agent.validate,CANONICAL_COMMAND,"[{""catalog"": ""contracts/payload-contracts.json"", ""routeIds"": [""route.0144""]}]","{""agent.revision.validate"": [""OPERATION_ADMITTED"", ""OPERATION_STATE_CHANGED"", ""OPERATION_TERMINAL""]}",ui/contracts/ui-control-registry.json#/pages/5/actions/2
ui.agent.run,Spustit,agent.run.start,OWNER_FULL,dashboard.drawer.agents,NOT_IN_DASHBOARD_REFERENCE,Dashboard > Actions > agents > agent.run,CANONICAL_COMMAND,"[{""catalog"": ""contracts/payload-contracts.json"", ""routeIds"": [""route.0156""]}]","{""agent.run.start"": [""OPERATION_ADMITTED"", ""OPERATION_STATE_CHANGED"", ""OPERATION_TERMINAL""]}",ui/contracts/ui-control-registry.json#/pages/5/actions/3
ui.agent.pause,Pozastavit,agent.run.pause,OWNER_FULL,dashboard.drawer.agents,NOT_IN_DASHBOARD_REFERENCE,Dashboard > Actions > agents > agent.pause,CANONICAL_COMMAND,"[{""catalog"": ""contracts/payload-contracts.json"", ""routeIds"": [""route.0162""]}]","{""agent.run.pause"": [""OPERATION_ADMITTED"", ""OPERATION_STATE_CHANGED"", ""OPERATION_TERMINAL""]}",ui/contracts/ui-control-registry.json#/pages/5/actions/4
ui.agent.resume,Pokračovat,agent.run.resume,OWNER_FULL,dashboard.drawer.agents,NOT_IN_DASHBOARD_REFERENCE,Dashboard > Actions > agents > agent.resume,CANONICAL_COMMAND,"[{""catalog"": ""contracts/payload-contracts.json"", ""routeIds"": [""route.0163""]}]","{""agent.run.resume"": [""OPERATION_ADMITTED"", ""OPERATION_STATE_CHANGED"", ""OPERATION_TERMINAL""]}",ui/contracts/ui-control-registry.json#/pages/5/actions/5
ui.agent.cancel,Zrušit,agent.run.cancel,OWNER_FULL,dashboard.drawer.agents,NOT_IN_DASHBOARD_REFERENCE,Dashboard > Actions > agents > agent.cancel,CANONICAL_COMMAND,"[{""catalog"": ""contracts/payload-contracts.json"", ""routeIds"": [""route.0164""]}]","{""agent.run.cancel"": [""OPERATION_ADMITTED"", ""OPERATION_STATE_CHANGED"", ""OPERATION_TERMINAL""]}",ui/contracts/ui-control-registry.json#/pages/5/actions/6
ui.agent.activate,Aktivovat,agent.revision.activate,OWNER_FULL,dashboard.drawer.agents,NOT_IN_DASHBOARD_REFERENCE,Dashboard > Actions > agents > agent.activate,CANONICAL_COMMAND,"[{""catalog"": ""contracts/payload-contracts.json"", ""routeIds"": [""route.0146""]}]","{""agent.revision.activate"": [""OPERATION_ADMITTED"", ""OPERATION_STATE_CHANGED"", ""OPERATION_TERMINAL""]}",ui/contracts/ui-control-registry.json#/pages/5/actions/7
ui.agent.rollback,Rollback,agent.revision.activate,OWNER_FULL,dashboard.drawer.agents,NOT_IN_DASHBOARD_REFERENCE,Dashboard > Actions > agents > agent.rollback,CANONICAL_COMMAND,"[{""catalog"": ""contracts/payload-contracts.json"", ""routeIds"": [""route.0146""]}]","{""agent.revision.activate"": [""OPERATION_ADMITTED"", ""OPERATION_STATE_CHANGED"", ""OPERATION_TERMINAL""]}",ui/contracts/ui-control-registry.json#/pages/5/actions/8
ui.mcp.discover,server/discover,mcp.server.discover,OWNER_FULL,dashboard.drawer.mcp,NOT_IN_DASHBOARD_REFERENCE,Dashboard > Actions > mcp > mcp.discover,CANONICAL_COMMAND,"[{""catalog"": ""contracts/payload-contracts.json"", ""routeIds"": [""route.0084""]}]","{""mcp.server.discover"": [""OPERATION_ADMITTED"", ""OPERATION_STATE_CHANGED"", ""OPERATION_TERMINAL""]}",ui/contracts/ui-control-registry.json#/pages/6/actions/0
ui.mcp.send,Odeslat request,mcp.prompts.get|mcp.prompts.list|mcp.resources.list|mcp.resources.read|mcp.resources.templates.list|mcp.server.discover|mcp.subscription.listen|mcp.task.cancel|mcp.task.get|mcp.task.update|mcp.tools.call|mcp.tools.list,OWNER_FULL,dashboard.drawer.mcp,NOT_IN_DASHBOARD_REFERENCE,Dashboard > Actions > mcp > mcp.send,CANONICAL_COMMAND,"[{""schemaId"": ""urn:kcml:r9:operation:mcp.prompts.get:command""}, {""schemaId"": ""urn:kcml:r9:operation:mcp.prompts.list:command""}, {""schemaId"": ""urn:kcml:r9:operation:mcp.resources.list:command""}, {""schemaId"": ""urn:kcml:r9:operation:mcp.resources.read:command""}, {""schemaId"": ""urn:kcml:r9:operation:mcp.resources.templates.list:command""}, {""catalog"": ""contracts/payload-contracts.json"", ""routeIds"": [""route.0084""]}, {""schemaId"": ""urn:kcml:r9:operation:mcp.subscription.listen:command""}, {""catalog"": ""contracts/payload-contracts.json"", ""routeIds"": [""route.0119""]}, {""catalog"": ""contracts/payload-contracts.json"", ""routeIds"": [""route.0117""]}, {""catalog"": ""contracts/payload-contracts.json"", ""routeIds"": [""route.0118""]}, {""schemaId"": ""urn:kcml:r9:operation:mcp.tools.call:command""}, {""schemaId"": ""urn:kcml:r9:operation:mcp.tools.list:command""}]","{""mcp.prompts.get"": [""OPERATION_ADMITTED"", ""OPERATION_STATE_CHANGED"", ""OPERATION_TERMINAL""], ""mcp.prompts.list"": [""OPERATION_ADMITTED"", ""OPERATION_STATE_CHANGED"", ""OPERATION_TERMINAL""], ""mcp.resources.list"": [""OPERATION_ADMITTED"", ""OPERATION_STATE_CHANGED"", ""OPERATION_TERMINAL""], ""mcp.resources.read"": [""OPERATION_ADMITTED"", ""OPERATION_STATE_CHANGED"", ""OPERATION_TERMINAL""], ""mcp.resources.templates.list"": [""OPERATION_ADMITTED"", ""OPERATION_STATE_CHANGED"", ""OPERATION_TERMINAL""], ""mcp.server.discover"": [""OPERATION_ADMITTED"", ""OPERATION_STATE_CHANGED"", ""OPERATION_TERMINAL""], ""mcp.subscription.listen"": [""OPERATION_ADMITTED"", ""OPERATION_STATE_CHANGED"", ""OPERATION_TERMINAL""], ""mcp.task.cancel"": [""OPERATION_ADMITTED"", ""OPERATION_STATE_CHANGED"", ""OPERATION_TERMINAL""], ""mcp.task.get"": [""OPERATION_ADMITTED"", ""OPERATION_STATE_CHANGED"", ""OPERATION_TERMINAL""], ""mcp.task.update"": [""OPERATION_ADMITTED"", ""OPERATION_STATE_CHANGED"", ""OPERATION_TERMINAL""], ""mcp.tools.call"": [""OPERATION_ADMITTED"", ""OPERATION_STATE_CHANGED"", ""OPERATION_TERMINAL""], ""mcp.tools.list"": [""OPERATION_ADMITTED"", ""OPERATION_STATE_CHANGED"", ""OPERATION_TERMINAL""]}",ui/contracts/ui-control-registry.json#/pages/6/actions/1
ui.mcp.cancel,Zrušit,mcp.subscription.cancel|mcp.task.cancel|mcp.tools.cancel,OWNER_FULL,dashboard.drawer.mcp,NOT_IN_DASHBOARD_REFERENCE,Dashboard > Actions > mcp > mcp.cancel,CANONICAL_COMMAND,"[{""catalog"": ""contracts/payload-contracts.json"", ""routeIds"": [""route.0111""]}, {""catalog"": ""contracts/payload-contracts.json"", ""routeIds"": [""route.0119""]}, {""catalog"": ""contracts/payload-contracts.json"", ""routeIds"": [""route.0104""]}]","{""mcp.subscription.cancel"": [""OPERATION_ADMITTED"", ""OPERATION_STATE_CHANGED"", ""OPERATION_TERMINAL""], ""mcp.task.cancel"": [""OPERATION_ADMITTED"", ""OPERATION_STATE_CHANGED"", ""OPERATION_TERMINAL""], ""mcp.tools.cancel"": [""OPERATION_ADMITTED"", ""OPERATION_STATE_CHANGED"", ""OPERATION_TERMINAL""]}",ui/contracts/ui-control-registry.json#/pages/6/actions/2
ui.mcp.verify,Ověřit,mcp.wire.verify,OWNER_FULL,dashboard.drawer.mcp,NOT_IN_DASHBOARD_REFERENCE,Dashboard > Actions > mcp > mcp.verify,CANONICAL_COMMAND,"[{""catalog"": ""contracts/payload-contracts.json"", ""routeIds"": [""route.0085"", ""route.0086"", ""route.0087"", ""route.0088"", ""route.0089"", ""route.0090"", ""route.0091"", ""route.0092"", ""route.0093"", ""route.0094"", ""route.0095"", ""route.0096""]}]","{""mcp.wire.verify"": [""OPERATION_ADMITTED"", ""OPERATION_STATE_CHANGED"", ""OPERATION_TERMINAL""]}",ui/contracts/ui-control-registry.json#/pages/6/actions/3
ui.mcp.activate,Aktivovat,component.activate,OWNER_FULL,dashboard.drawer.mcp,NOT_IN_DASHBOARD_REFERENCE,Dashboard > Actions > mcp > mcp.activate,CANONICAL_COMMAND,"[{""catalog"": ""contracts/payload-contracts.json"", ""routeIds"": [""route.0050"", ""route.0076""]}]","{""component.activate"": [""OPERATION_ADMITTED"", ""OPERATION_STATE_CHANGED"", ""OPERATION_TERMINAL""]}",ui/contracts/ui-control-registry.json#/pages/6/actions/4
ui.mcp.repair,Opravit,component.repair.request,OWNER_FULL,dashboard.drawer.mcp,NOT_IN_DASHBOARD_REFERENCE,Dashboard > Actions > mcp > mcp.repair,CANONICAL_COMMAND,"[{""catalog"": ""contracts/payload-contracts.json"", ""routeIds"": [""route.0057""]}]","{""component.repair.request"": [""OPERATION_ADMITTED"", ""OPERATION_STATE_CHANGED"", ""OPERATION_TERMINAL""]}",ui/contracts/ui-control-registry.json#/pages/6/actions/5
ui.browser.new,Nová relace,browser.session.create,OWNER_FULL,dashboard.drawer.browser,NOT_IN_DASHBOARD_REFERENCE,Dashboard > Actions > browser > browser.new,CANONICAL_COMMAND,"[{""catalog"": ""contracts/payload-contracts.json"", ""routeIds"": [""route.0265"", ""route.0279""]}]","{""browser.session.create"": [""OPERATION_ADMITTED"", ""OPERATION_STATE_CHANGED"", ""OPERATION_TERMINAL""]}",ui/contracts/ui-control-registry.json#/pages/7/actions/0
ui.browser.navigate,Otevřít URL,browser.action.start,OWNER_FULL,dashboard.drawer.browser,NOT_IN_DASHBOARD_REFERENCE,Dashboard > Actions > browser > browser.navigate,CANONICAL_COMMAND,"[{""catalog"": ""contracts/payload-contracts.json"", ""routeIds"": [""route.0292""]}]","{""browser.action.start"": [""OPERATION_ADMITTED"", ""OPERATION_STATE_CHANGED"", ""OPERATION_TERMINAL""]}",ui/contracts/ui-control-registry.json#/pages/7/actions/1
ui.browser.takeover,Převzít ovládání,browser.control.acquire,OWNER_FULL,dashboard.drawer.browser,NOT_IN_DASHBOARD_REFERENCE,Dashboard > Actions > browser > browser.takeover,CANONICAL_COMMAND,"[{""catalog"": ""contracts/payload-contracts.json"", ""routeIds"": [""route.0276"", ""route.0299"", ""route.0372""]}]","{""browser.control.acquire"": [""OPERATION_ADMITTED"", ""OPERATION_STATE_CHANGED"", ""OPERATION_TERMINAL""]}",ui/contracts/ui-control-registry.json#/pages/7/actions/2
